name,food_category,naver_category,address,operating_hours,phone_number,catch_table_reservable,latitude,longitude,naver_place_id,naver_link,memo,source
라멘모토,일식,일본식라면,서울 서초구 신반포로 325 1층,,0507-1346-2370,false,37.5106609,127.0192526,20550982,https://map.naver.com/p/entry/place/20550982,츠케멘,naver_shared_folder:맛집1(서울)
거대곰탕 서초점,한식,"곰탕,설렁탕",서울 서초구 사임당로 157 B1층 B102호,,02-583-7770,false,37.4924723,127.026839,2081289739,https://map.naver.com/p/entry/place/2081289739,,naver_shared_folder:맛집1(서울)
남도보쌈파전,한식,한식,"서울 동대문구 장한로 160 대진빌딩 1층, 남도보쌈파전",,0507-1327-3236,false,37.5746648,127.0722887,1055934431,https://map.naver.com/p/entry/place/1055934431,,naver_shared_folder:맛집1(서울)
마마리마켓,한식,한식,서울 성동구 연무장18길 16 1층 마마리마켓,,0507-1383-2163,false,37.5393358,127.0620111,1696863258,https://map.naver.com/p/entry/place/1696863258,,naver_shared_folder:맛집1(서울)
마이니치라멘 삼성니보시점,일식,일본식라면,서울 강남구 봉은사로63길 7 A동 102호,,0507-1400-3323,false,37.5119318,127.0469878,1709306398,https://map.naver.com/p/entry/place/1709306398,,naver_shared_folder:맛집1(서울)
금통화로구이,한식,"육류,고기요리",서울 성북구 종암로22길 12-18 1층,,02-918-9292,false,37.5993622,127.0350781,18913565,https://map.naver.com/p/entry/place/18913565,"황태구이, 차돌된장",naver_shared_folder:맛집1(서울)
서가네식탁,중식,중식당,서울 강서구 곰달래로53가길 3,,0507-1352-9313,false,37.5336428,126.8591147,1663265247,https://map.naver.com/p/entry/place/1663265247,"간자장, 볶음짬뽕",naver_shared_folder:맛집1(서울)
홍명,중식,중식당,서울 강남구 논현로131길 10 미현빌딩 1층 홍명,,02-548-2223,false,37.514514,127.0295105,18505540,https://map.naver.com/p/entry/place/18505540,간자장,naver_shared_folder:맛집1(서울)
당가원,중식,중식당,서울 마포구 월드컵북로 173 1층 당가원,,02-302-8186,false,37.5673732,126.9092997,1678755994,https://map.naver.com/p/entry/place/1678755994,짬뽕 간짜장,naver_shared_folder:맛집1(서울)
카츠디나인 신대방삼거리 본점,일식,돈가스,서울 동작구 국사봉1길 12-5 1층,,0507-1307-4150,false,37.4985132,126.9292373,1102241191,https://map.naver.com/p/entry/place/1102241191,,naver_shared_folder:맛집1(서울)
